project_id,start_date,end_date,budget_usd,team_size,complexity,risk_level,stakeholder_engagement_score,business_value,duration_days,success
1,2021-11-15,2022-03-21,166868.04,8,6,5,7,189.55,126,0
2,2021-07-13,2022-05-21,68770.9,14,7,5,6,66.4,312,0
3,2023-05-01,2023-12-23,135571.59,18,6,4,7,105.2,236,0
4,2022-04-15,2022-06-16,132266.0,14,8,2,10,38.11,62,0
5,2022-02-02,2022-06-27,103521.62,15,5,4,7,100.42,145,0
6,2023-10-15,2024-09-24,151622.9,8,3,3,2,0.0,345,0
7,2022-10-30,2023-10-08,134175.76,9,7,1,6,94.92,343,0
8,2020-10-04,2021-04-30,203302.89,9,7,3,5,60.31,208,0
9,2021-08-22,2022-03-13,173192.94,6,9,1,8,138.01,203,0
10,2022-12-30,2023-09-19,77536.46,8,2,2,7,40.95,263,0
11,2021-08-23,2022-02-01,181723.19,14,1,5,4,157.05,162,0
12,2023-11-21,2024-03-23,221846.38,10,6,2,3,131.09,123,1
13,2020-11-10,2021-06-22,89428.97,6,1,1,4,51.27,224,0
14,2021-12-06,2022-07-09,164506.77,17,2,4,7,210.86,215,0
15,2021-07-05,2022-01-15,69790.02,17,5,1,6,25.44,194,0
16,2020-03-28,2020-11-03,200752.91,14,2,4,8,208.3,220,0
17,2020-06-23,2020-07-27,173483.11,12,10,3,8,42.18,34,0
18,2022-04-29,2022-12-20,171132.32,17,1,5,7,223.65,235,0
19,2021-06-21,2022-03-04,65588.36,10,4,3,7,72.06,256,0
20,2022-04-25,2022-08-06,65259.97,9,10,2,6,43.15,103,0
21,2020-03-13,2020-11-16,156479.39,15,4,4,9,146.81,248,0
22,2022-02-16,2022-04-13,162732.74,7,1,4,6,161.87,56,0
23,2020-04-25,2020-06-16,146305.95,5,9,3,4,8.48,52,0
24,2022-09-03,2023-04-28,126699.62,18,3,5,8,148.3,237,0
25,2022-01-25,2022-05-25,244008.64,13,6,5,3,169.34,120,0
26,2023-12-26,2024-03-16,199211.55,12,5,3,8,202.39,81,1
27,2021-03-24,2022-02-19,221327.06,6,3,5,3,135.57,332,0
28,2022-04-30,2022-12-24,92357.66,6,5,2,10,65.42,238,0
29,2020-04-09,2020-07-09,222778.39,6,3,1,6,207.0,91,1
30,2023-04-16,2024-03-14,169035.24,14,1,4,1,176.88,333,0
31,2022-01-25,2022-06-08,139726.17,12,2,4,3,148.92,134,0
32,2022-03-08,2022-08-13,192955.73,9,6,4,9,158.83,158,0
33,2021-10-21,2022-10-13,96295.89,13,6,1,2,104.99,357,0
34,2023-03-17,2023-07-19,187039.0,11,9,2,9,111.75,124,0
35,2022-06-29,2022-08-04,226364.83,6,1,3,3,199.21,36,1
36,2021-02-27,2021-09-18,160871.09,7,1,5,9,208.73,203,0
37,2023-08-05,2024-05-06,192846.36,20,6,5,7,191.18,275,0
38,2023-07-13,2023-08-27,197713.65,17,8,1,9,183.53,45,0
